hadith-eng;reference;question #;question
`Ali (رضي الله عنه) said: I used to enter upon the Messenger of Allah (ﷺ) twice, by night and by day. If I entered upon him and he was praying, he would clear his throat. I came to him one night and he said: `Do you know what the angel did this night? I was praying and I heard some movement in the house. I went out and I saw Jibreel (عليه السلام). He said: All night I have been waiting for you. In your house there is a dog and I could not enter. We do not enter the house in which there is a dog or a person who is junub or a statue.`;Musnad Ahmad 608, Book 5, Hadith 45;question #4;How does the presence of statues affect the entry of angels into a home?
The Messenger of Allah (ﷺ) forbade sacrificing an animal with its ears slit from the front, an animal with its ears slit from the back, an animal whose ears are slit in two lengthwise, an animal with a round hole in its ear, and an animal with its nose [or ear or lip] cut off.;Musnad Ahmad 609, Book 5, Hadith 46;question #4;How does the prohibition of sacrificing animals with certain defects reflect the principles of compassion and respect in Islam?
The Messenger of Allah (ﷺ)  said: “No prayer should be offered after `Asr unless the sun is bright and still high.”;Musnad Ahmad 610, Book 5, Hadith 47;question #4;What are the exceptions to the prohibition of praying after `Asr?
The Messenger of Allah (ﷺ) forbade me to recite Qur`an whilst bowing or to wear gold rings, garments made of a blend of linen and silk, or garments dyed with safflower.;Musnad Ahmad 611, Book 5, Hadith 48;question #4;What is the significance of avoiding garments dyed with safflower in Islamic teachings?
Abu Moosa came to al-Hasan bin `Ali to visit him when he was sick. `Ali (رضي الله عنه) said: Have you come to visit him or to gloat? He said: No. I have come to visit him because he is sick. `Ali (رضي الله عنه) said to him: Since you have come to visit him because he is sick, I heard the Messenger of Allah (ﷺ) say: “If a man visits his Muslim brother when he is sick, he is walking amongst the fruits of Paradise until he sits down, and when he sits down he is covered with mercy. If it is morning, seventy thousand angels will send blessings upon him until evening, and if it is evening, seventy thousand angels will send blessings upon him until morning.`;Musnad Ahmad 612, Book 5, Hadith 49;question #4;What is the significance of the time of day when visiting a sick person in Islam?
"“This is a place of standing and all of `Arafah is a place of standing.` then he moved on at a measured pace and the people were rushing right and left. He turned to them and said: “Calmly, O people; Calmly, O people.` When he came to al-Muzdalifah, he put two prayers together, then he stood in al-Muzdalifah with al-Fadl bin ‘Abbas riding behind him. Then he stopped in Quzah and said: `This is the place of standing, and all of al-Muzdalifah is a place of standing.` Then he moved on at a measured pace, and the people were rushing right and left. He turned to them and said: `Calmly, O people; calmly, O people.” When he stopped in Muhassir, he struck his mount and it trotted until it left the valley. Then he continued until he came to the Jamrah, then he went to the place of sacrifice and said: “This is the place of sacrifice and all of Mina is a place of sacrifice.” and he mentioned a hadeeth like that of Ahmad bin `Abdah from al-Mugheerah bin";Musnad Ahmad 613, Book 5, Hadith 50;question #4;What does the hadith indicate about the flexibility of the standing places in `Arafah and al-Muzdalifah?
The Messenger of Allah (ﷺ) said: “No one hates the Arabs except a hypocrite.”;Musnad Ahmad 614, Book 5, Hadith 51;question #4;Why might the Prophet Muhammad (ﷺ) emphasize the importance of not hating the Arabs?
`Ali bin Abi Talib (رضي الله عنه) addressed us and said: Whoever claims that we have something that we recite apart from the Book of Allah and this document in which are the ages of camels [to be given as diyah or blood money] and rulings concerning injuries, is lying. And in it the Prophet (ﷺ) said: `Madinah is sacred, the area between ‘Air and Thawr. Whoever commits any offence, or gives refuge to an offender, upon him will be the curse of Allah, the angels and all the people, and on the Day of Resurrection Allah will not accept any obligatory or nafil act of worship from him. Whoever claims to belong to someone other than his father or to belong to someone other than his masters (who manumitted him), upon him be the curse of Allah, the Angels and all the people, and on the Day of Resurrection Allah will not accept any nafil or obligatory act of worship from him. Protection granted by any Muslim is binding upon all of them, and may be given by the humblest of them.`;Musnad Ahmad 615, Book 5, Hadith 52;question #4;How does Islam view the protection granted by a Muslim to others?
`Ali (رضي الله عنه) said: When I narrate to you from the Messenger of Allah (ﷺ), it would be dearer to me to be thrown down from the sky than to tell lies about him. But if I narrate to you from anyone else, then I am a warrior and war is deceit. I heard the Messenger of Allah (ﷺ) say: `There will emerge at the end of time people who are young in age and immature. They will speak like the best of people but their faith will go no deeper than their throats. Wherever you encounter them, kill them, for killing them brings to the one who kills them reward with Allah on the Day of Resurrection.`;Musnad Ahmad 616, Book 5, Hadith 53;question #4;What is the consequence mentioned for encountering people whose faith does not go deeper than their throats?
It was narrated that ‘Ali (رضي الله عنه) said. The Messenger of Allah (ﷺ) said on the day of al-Ahzab. `They distracted us from the middle prayer, ‘Asr prayer. May Allah fill their graves and houses with fire.` Then he offered it between the two evening prayers, Maghrib and ‘Isha’.;Musnad Ahmad 617, Book 5, Hadith 54;question #4;What can be inferred about the importance of timely prayer from the Prophet's actions?
He was a man who emitted a great deal of madhi (prostatic fluid), but he felt too shy to ask the Prophet (ﷺ)  about madhi. He said to al-Miqdad: Ask the Messenger of Allah (ﷺ)  for me about madhi. So he asked him, and the Messenger of Allah (ﷺ) said: `Let him do wudoo’ for that.`;Musnad Ahmad 618, Book 5, Hadith 55;question #4;What is the significance of wudoo' in maintaining ritual purity in Islam?
The Messenger of Allah (ﷺ)  forbade a man to recite Qur`an whilst bowing or prostrating.;Musnad Ahmad 619, Book 5, Hadith 56;question #4;How does the prohibition of reciting Qur'an during certain prayer positions affect the conduct of prayer?
O Messenger of Allah (ﷺ), why do you choose to get married from among Quraysh and you ignore us? He said: `Have you anybody to suggest?` I said: Yes, the daughter of Hamzah. The Messenger of Allah (ﷺ)  said: `She is not permissible for me (to marry), for she is the daughter of my brother through breastfeeding.`;Musnad Ahmad 620, Book 5, Hadith 57;question #4;What are the implications of the Prophet's (ﷺ) response regarding marriage proposals from different tribes?
"One day the Messenger of Allah (ﷺ) was sitting with a stick in his hand, with which he was hitting the ground. He raised his head and said: `There is no soul among you but his place in Paradise or Hell is known.” They said: O Messenger of Allah (ﷺ), why should we strive? He said: `Keep striving for everyone will be helped to do that for which he was created. As for him who gives (in charity) and keeps his duty to Allah and fears Him. And believes in Al-Husna. 
Al-Husna: The Best (i.e. either la ilaha illallah: none has the right to be worshipped but Allah) or a reward from Allah (i.e. Allah will compensate him for what he will spend in Allah`s way or bless him with Paradise)
We will make smooth for him the path of ease (goodness). But he who is greedy miser and thinks himself self-sufficient, And belies Al-Husna, We will make smooth for him the path for evil, [al-Lail 92:5-10].`";Musnad Ahmad 621, Book 5, Hadith 58;question #4;What are the consequences of being greedy and self-sufficient as mentioned in the hadith?
"The Messenger of Allah (ﷺ) sent out an expedition and appointed a man of the Ansar to lead it. When they went out, he (the man in charge) got upset with them for some reason and said to them: Didn`t the Messenger of Allah (ﷺ) instruct you to obey me? They said: Yes. He said: Bring firewood Then he called for fire and lit it, then he said: I insist that you enter it. The people thought of entering it, but then a young man among them said: You fled to the Messenger of Allah (ﷺ) from the Fire; do not rush (to enter it) until you meet the Prophet (ﷺ), then if he orders you to enter it, enter it. They went back to the Prophet (ﷺ) and told him about that. He said to them: “If you had entered it you would never have come out of it; obedience is only with regard to that which is right and proper.”";Musnad Ahmad 622, Book 5, Hadith 59;question #4;What lessons can be learned about leadership and authority from this incident?
"I saw a funeral among Banu Salimah so I stood up. Nafi’ bin Jubair said to me: Sit down, and I will tell you something decisive about this: Mas`ood bin al-Hakam az-Zuraqi told me that he heard ‘Ali bin Abi Talib (رضي الله عنه) in Rahbatal-Koofah saying: The Messenger of Allah (ﷺ) told us to stand up for funerals; then later on he remained seated and told us to remain seated.";Musnad Ahmad 623, Book 5, Hadith 60;question #4;How do narrations from companions of the Prophet (ﷺ) influence Islamic rituals and practices?
"Here is your cousin; carry out the hadd punishment on him. He said: O Hasan, get up and flog him. He said: You are not able to do that, appoint someone else for this. He said: Rather you are too weak and helpless. Get up, O Abdullah bin Ja’far. So `Abdullah began to strike him and ‘Ali counted until he reached forty. Then he said: Stop - or That`s enough. The Messenger of Allah (ﷺ) gave forty lashes and Abu Bakr gave forty lashes,andʻUmar completed it and made it eighty. And all are Sunnah.";Musnad Ahmad 624, Book 5, Hadith 61;question #4;How did the number of lashes for drinking alcohol change from the time of the Prophet (ﷺ) to the caliphate of Umar?
`Ali entered upon me in In house and called for water for wudoo’. I brought him a wooden vessel that held a mudd or thereabouts and put it in front of him. He had urinated and he said: O Ibn ‘Abbas, shall I not do wudoo’ for you as the Messenger of Allah (ﷺ) did wudoo’? I said: Yes, may my father and mother be sacrificed for you. He said: A vessel was placed before him and he washed his hands, then he rinsed his mouth, and took water into his nose and blew it out. Then he took water in his hands and splashed it onto his face, putting his thumbs at the top of his ears. He did that three times. Then he took a handful of water in his right hand and poured it over his forehead, then he let it drip on his face. Then he washed his right hand up to the elbow three times, then his other hand likewise. Then he wiped his head and the backs of his ears. Then he scooped up water with two hands and poured it onto his feet, with sandals on his feet, then he turned his foot over (to wash it). then he did the same with the other foot, I said: With his sandals on? He said: With his sandals on. I said: With his sandals on? He said: With his sandals on. I said: With his sandals on? He said: With his sandals on.;Musnad Ahmad 625, Book 5, Hadith 62;question #4;How does the use of sandals affect the process of washing the feet in wudoo'?
"Among them is a man with a defective arm, or an incomplete arm, or a small arm. If you could exercise restraint, I would have told you what Allah promised on the lips of Muhammad (ﷺ) to those who kill them. I said: Did you hear that from Muhammad (ﷺ)? He said: Yes, by the Lord of the Ka`bah; yes, by the Lord of the Ka`bah; yes, by the Lord of the Ka`bah.";Musnad Ahmad 626, Book 5, Hadith 63;question #4;What role does restraint play in the context of sharing prophetic promises or warnings?
The Messenger of Allah (ﷺ) would teach us Qur`an so long as he was not junub.;Musnad Ahmad 627, Book 5, Hadith 64;question #4;Why is it important to maintain a state of ritual purity in Islamic teachings?
I said: O Messenger of Allah (ﷺ), when you send me on a mission, should I go and do what you tell me to do (with no delay) or witness and find out what someone who is not there cannot find out? He said: `Witness and find out what someone who is not there cannot find out.`;Musnad Ahmad 628, Book 5, Hadith 65;question #4;Why might it be important to gather information that others cannot access when fulfilling a duty?
I heard Rib`i say: I heard ‘Ali (رضي الله عنه) say: The Messenger of Allah (ﷺ) said: `Do not tell lies about me, for whoever tells lies about me will enter the Fire.”;Musnad Ahmad 629, Book 5, Hadith 66;question #4;How does Islam view the act of attributing false statements to the Prophet Muhammad (ﷺ)?
I heard `Ali (رضي الله عنه) say: The Messenger of Allah (ﷺ) said: “Do not tell lies about me, for whoever tells lies about me will enter the Fire.”;Musnad Ahmad 630, Book 5, Hadith 67;question #4;How does Islam view the act of attributing false statements to the Prophet Muhammad (ﷺ)?
We saw the Messenger of Allah (ﷺ) standing so we stood, then we saw him remain seated so we remained seated (i.e., when a funeral passed by).;Musnad Ahmad 631, Book 5, Hadith 68;question #4;How does the behavior of the Prophet (ﷺ) during a funeral procession serve as a guide for Muslims?
“The angels do not enter a house in which there is a junub person or an image or a dog.`;Musnad Ahmad 632, Book 5, Hadith 69;question #4;Why might the presence of a dog be mentioned in relation to angels entering a home?
The Messenger of Allah (ﷺ) forbade gourds and varnished jars.;Musnad Ahmad 634, Book 5, Hadith 71;question #4;What is the significance of adhering to the Prophet's guidance on everyday objects and their usage?
The Messenger of Allah (ﷺ) cursed ten: the one who consumes riba, the one who pays it, the one who writes it down, the two who witness it, the one who marries a woman and divorces her so that she becomes permissible for her first husband, and the one for whom that is done, the one who withholds zakah, the one who does tattoos and the one for whom tattoos are done.;Musnad Ahmad 635, Book 5, Hadith 72;question #4;What are the implications of withholding zakah according to Islamic teachings?
The Messenger of Allah (ﷺ) sent me to Yemen when I was young, I said: You are sending me to people among whom things happen and I do not know how to judge. He said: `Allah will guide your tongue and make your heart steadfast.` And I never doubted any judgement I passed between two people after that.;Musnad Ahmad 636, Book 5, Hadith 73;question #4;How does youth and inexperience affect one's perception of their ability to handle responsibilities?
"The Messenger of Allah (ﷺ) passed by me when I was in pain and I was saying: O Allah, if my time has come then grant me relief, if it has not yet come then raise me in status, and if this is a trial then grant me patience. He said: “What did you say?” I repeated it to him, then he nudged me with his foot and said: `What did you say?` I repeated it to him and he said: “O Allah, grant him well being or heal him.” And I never suffered that pain again after that.

It was narrated that `Ali (رضي الله عنه) said: I was ill and the Messenger of Allah (ﷺ) passed by me... And he mentioned a similar report, except that he said: “O Allah, grant him well being; O Allah, heal him.”";Musnad Ahmad 637, 638, Book 5, Hadith 74;question #4;How can one seek relief or healing through prayer in times of distress?
Two men and I came to ‘Ali (رضي الله عنه), who said: The Messenger of Allah (ﷺ)  was relieving himself, then he came out and recited Qur`an and ate meat with us. Nothing prevented or stopped him from reciting Qur`an except janabah.;Musnad Ahmad 639, Book 5, Hadith 75;question #4;What actions did the Prophet (ﷺ) refrain from while in a state of janabah?
I heard the Messenger of Allah (ﷺ) say: “The best women (of her time) was Maryam bint ‘Imran, and the best woman (of her time) is Khadeejah.”;Musnad Ahmad 640, Book 5, Hadith 76;question #4;How does the recognition of Maryam and Khadeejah reflect on the status of women in Islam?
"I heard ‘Ali in Ar-Rahbah, when he was adjuring the people and asking who had been present with the Messenger of Allah (ﷺ) on the day of Ghadeer Khumm. when he said what he said. Thirteen men stood up and testified that they had heard the Messenger of Allah (ﷺ) say; “If I am a person`s mawla”, ‘Ali is also his mawla.`
(The word mawla refers to the one who manumits a slave, who has the right to inherit from the ex-slave. Changing one`s mawla means giving the right of inheritance to the new mawla)";Musnad Ahmad 641, Book 5, Hadith 77;question #4;How does the concept of 'mawla' relate to inheritance rights in Islamic law?
`Ali (رضي الله عنه) said: By Allah, one of the things that the Messenger of Allah (ﷺ) promised me was that no one would hate me except a hypocrite and no one would love me except a believer.;Musnad Ahmad 642, Book 5, Hadith 78;question #4;How does one's attitude towards 'Ali reflect their belief or hypocrisy?
The Messenger of Allah (ﷺ)  gave Fatimah a trousseau of a velvet garment, a waterskin and a leather pillow stuffed with idhkhir fibres.;Musnad Ahmad 643, Book 5, Hadith 79;question #4;What materials were used to stuff the leather pillow given to Fatimah?
`Climb onto my shoulders.” So I climbed on to his shoulders and he stood up with me. I felt that if I had wanted to, I could have reached the edge of the sky. I climbed up onto the top of the House, where there was a statue of brass or copper. I started shaking it right and left, forwards and backwards until, when I had managed to loosen it, the Messenger of Allah (ﷺ)  said to me: “Throw it down.” I threw it down and it broke like a glass bottle, Then I came down and the Messenger of Allah (ﷺ)  and I ran and hid among the houses lest any of the people see us.;Musnad Ahmad 644, Book 5, Hadith 80;question #4;What does this event reveal about the relationship between the Prophet Muhammad (ﷺ) and Ali?
The Messenger of Allah (ﷺ) said: “The Mahdi is one of us’ Ahlal-Bait (the prophet’s family) and Allah will prepare him in one night”.;Musnad Ahmad 645, Book 5, Hadith 81;question #4;What role does the Mahdi play in the beliefs of Ahlal-Bait?
"I heard Ameer al-Mu’mineen ‘Ali (رضي الله عنه) say: I met Fatimah, al-’Abbas and Zaid bin Harithah in the presence of the Messenger of Allah (ﷺ). Al-`Abbas said, O Messenger of Allah  (ﷺ), I have grown old and my bones have grown weak, and I need more sustenance. If you see fit, O Messenger of Allah (ﷺ), to order such and such measure of food for me, then do so. The Messenger of Allah (ﷺ) said: `We will do it.` Fatimah said: O Messenger of Allah (ﷺ), if you see fit to order that I be given what you have given to your paternal uncle, then do so. The Messenger of Allah  (ﷺ) said: `We will do it.` Then Zaid bin Harithah said: O Messenger of Allah (ﷺ), you gave me land from which I made my livelihood, then you took it back; if you see fit to return it to me, then do so. The Messenger of Allah (ﷺ) said: `We will do that.` I said: Messenger of Allah (ﷺ) , if you see fit to put me in charge of the use of share of the khumus that Allah has decreed for us in His Book, I shall divide it whilst you are still alive so that no one will dispute it with me after you are gone. The Messenger of Allah (ﷺ) said: “We will do that.” And the Messenger of Allah  (ﷺ) appointed me in charge of it and I divided it during his lifetime. Then Abu Bakr (رضي الله عنه) put me in charge of it and I divided it during his lifetime. Then ‘Umar   (رضي الله عنه)put me in charge of it and I divided it during his lifetime until the last year of ‘Umar`s reign, when a great deal of wealth came to him.";Musnad Ahmad 646, Book 5, Hadith 82;question #4;How did the leadership of Abu Bakr (رضي الله عنه) and 'Umar (رضي الله عنه) continue the practices established by the Prophet Muhammad (ﷺ) regarding khumus?
"`Ali (رضي الله عنه) said to me: I had a status with the Messenger of Allah (ﷺ) that no one else had. l used to come to him every morning before dawn and greet him with salam until he cleared his throat. One night I came in and greeted him with salam. I said: Peace be upon you, O Prophet of Allah. He said: “Wait a moment, O Abu Hasan, until I come out to you.” When he came out to me, I said: O Prophet of Allah, has someone upset you? He said: `No.` I said: Why did you not speak to me in the past, but you spoke to me tonight? He said: `I heard a sound in the room and said: ‘Who is this?` He said: `I am jibreel.“ I said: `Come in. He said: ‘No; come out to me.` When I came out he said: `In your house there is something that no angel will enter so long as it is there.` I said: “I did not know, O Jibreel.” He said: `Go and look `So I opened the door and I did not find anything apart from a puppy that al-Hasan had been playing with. I said: `I did not find anything except a puppy.` He said: `There are three things, no angel will enter so long as one of them is in the house: a dog, major impurity or an image of an animate being.”";Musnad Ahmad 647, Book 5, Hadith 83;question #4;What are the implications of having a dog, major impurity, or images of animate beings in a house in Islamic belief?
"Be patient, Abu `Abdullah; be patient, Abu ‘Abdullah, on the banks of the Euphrates. I said: what did he say? He said: I entered upon the Prophet (ﷺ) one day and his eyes were flowing with tears. I said: O Prophet (ﷺ) of Allah, has someone upset you? Why are your eyes flowing with tears? He said: `No, but Jibreel left me a while ago. He told me that al-Husain would be killed on the banks of the Euphrates, And he said: `Would you like to smell his dust (the dust of the land where he will fall)?` I said: Yes. He stretched out his hand and picked up a handful of dust and gave it to me, and I could not help but weep.`";Musnad Ahmad 648, Book 5, Hadith 84;question #4;What is the importance of the Euphrates in Islamic history and prophecy?
`Ali (رضي الله عنه) said: Shall I not tell you of the best verse in the Book of Allah, may He be exalted, that the Messenger of Allah (ﷺ) told to us? [It is:] `And whatever of misfortune befalls you, it is because of what your hands have earned. And He pardons much” [ash-Shoora 42:30]. [He said:] “I will explain it to you, O ‘Ali. ‘And whatever of misfortune befalls you`, be it sickness or punishment or trials in this world, `it is because of what your hands have earned`. And Allah is too generous to double the punishment in the Hereafter, Whatever Allah pardons in this world. He is too forbearing to retract His pardon.`;Musnad Ahmad 649, Book 5, Hadith 85;question #4;How does the explanation of the verse by the Prophet (ﷺ) provide insight into the relationship between worldly trials and the Hereafter?
"I asked `Ali (رضي الله عنه) about the nafl prayers of the Prophet (ﷺ)  during the day. He said: You are not able for that. We said: Tell us and we will do as much of it as we can, He said: When the Messenger of Allah (ﷺ) prayed Fajr, he would wait until the sun would rise from there, meaning in the east, as high as it is at the time of `Asr there, meaning in the west. Then he would get up and pray two rak`ahs. Then he would wait until the sun rose as high there, meaning in the east, as it is at the time of Zuhr there, meaning in the west; then he would pray four rak`ahs, and four before Zuhr when the sun passed the meridian, and four afterwards, and four before ‘Asr, He would separate each two rak’ahs with salams upon the angels who are close to Allah, the Prophets, the believers and the Muslims who follow them. `Ali (رضي الله عنه) said: That is sixteen rak`ahs which the Prophet (ﷺ) offered as nafl prayers during the day, but there are very few who offer them regularly. Wakee’ narrated; my father said: Habeeb bin Abi Thabit said to Abu Ishaq when he narrated this to him: O Abu Ishaq, this hadeeth of yours is worth this mosque filled with gold.";Musnad Ahmad 650, Book 5, Hadith 86;question #4;How many rak'ahs did the Prophet (ﷺ) perform as nafl prayers during the day?
At different times of the night the Messenger of Allah (ﷺ) prayed Witr at the beginning, in the middle and at the end. Then he settled on praying Witr at the end of the night.;Musnad Ahmad 651, Book 5, Hadith 87;question #4;How does the timing of the Witr prayer reflect the flexibility in Islamic worship practices?
Witr is not an essential like regular prayer, but it is a Sunnah that was established by the Messenger of Allah (ﷺ).;Musnad Ahmad 652, Book 5, Hadith 88;question #4;Why is it important to follow the Sunnah practices established by the Prophet Muhammad (ﷺ)?
The Messenger of Allah (ﷺ) prayed Witr at the beginning of the night and at the end and in the middle. And in the end he settled on praying Witr just before dawn.;Musnad Ahmad 653, Book 5, Hadith 89;question #4;Why might someone choose to pray Witr just before dawn?
I remember the day of Badr, when we were seeking shelter with the Messenger of Allah (ﷺ) and he was the closest of us to the enemy and the most courageous of the people on that day;Musnad Ahmad 654, Book 5, Hadith 90;question #4;How is courage demonstrated by leaders in times of conflict according to Islamic teachings?
A Bedouin came to the Prophet (ﷺ) and said: O Messenger of Allah, what if we are in the desert and a little wind comes out of one of us? The Messenger of Allah (ﷺ) said: “Allah, may He be glorified and exalted, not too shy to tell the truth. If one of you does that, let him do wudoo`. And do not approach women in their back passage [and once he said: in their anuses].`;Musnad Ahmad 655, Book 5, Hadith 91;question #4;What are the implications of performing wudoo' after certain natural occurrences according to Islamic teachings?
"`Abdullah bin Shaddad came and entered upon `A`ishah (رضي الله عنها) when we were sitting with her, as he was returning from Iraq during the time when ‘Ali           (رضي الله عنه) was murdered. She said to him: O `Abdullah bin Shaddad, will you tell me the truth about what I am going to ask you? Tell me about these people whom ‘Ali (رضي الله عنه) killed. He said: Why shouldn`t I tell you the truth? She said: Tell me about them. He said: When `Ali (رضي الله عنه) corresponded with Mu`awiyah and the two arbitrators gave their verdict, eight thousand of the pious rebelled against him and camped in a land called Haroora`, near Koofah. They criticised him and said: You have taken off a chemise that Allah caused you to wear and a title that Allah gave to you, then you went ahead and asked people to issue a decree concerning the religion of Allah. There is no ruling except the ruling of Allah, may He be exalted. When `Ali (رضي الله عنه) heard about their criticism of him and the reason why they had split from him, he told his caller not to admit anyone but those who had memorised the Qur`an. When the house was filled with people who had memorised the Qur`an, he called for a large Mushaf and put it front of him, and he started tapping it with his hand, saying: O Mushaf, tell the people. The people called out: O Ameer al-Mu`mineen, how could you ask it? It is only ink and paper, but we could speak on the basis of what we understand from it. What do you want? He said: These companions of yours who rebelled, between me and them is the Book of Allah, and Allah says in His Book concerning a woman and a man: `If you fear a breach between them twain (the man and his wife), appoint (two) arbitrators, one from his family and the other from hers; if they both wish for peace, Allah will cause their reconciliation.` [an-Nisa 4:35]. The ummah of Muhammad is more important with regard to life and sanctity than a woman and a man. They got angry with me when I wrote a document between me and Mu`awiyah and wrote `Ali bin Abi Talib [without adding the title Ameer al-Mu`mineen]. But Suhail bin `Amr came to us when we were with the Messenger of Allah (ﷺ) at al-Hudaibiyah, when he made a peace deal with Quraish, and the Messenger of Allah (ﷺ) wrote, `In the Name of Allah, the Most Gracious, the Most Merciful.` Suhail said: Do not write, In the Name of Allah, the Most Gracious, the Most Merciful. He said: What should we write? He said: Write: `In Your Name, O Allah.” The Messenger of Allah (ﷺ) said: Write `Muhammad the Messenger of Allah (ﷺ).` He [Suhail] said: If I knew that you were the Messenger of Allah (ﷺ), I would not have opposed you. So he wrote: This is what was agreed by Muhammad bin `Abdullah with Quraish. And Allah says in His Book: “Indeed in the Messenger of Allah (ﷺ) (Muhammad) you have a good example to follow for him who hopes for (the Meeting with) Allah and the Last Day` [Al-Ahzab 33:21]. So `Ali sent `Abdullah bin `Abbas (رضي الله عنه) to them and I went out with him until we reached the middle of their camp. Ibnul-Kawwa` stood up and addressed the people, saying: O bearers of the Qur`an, this is `Abdullah bin `Abbas (رضي الله عنه). Whoever does not know him, I know of the Book of Allah what can tell you about him, He is one of those concerning whom the words `they are a quarrelsome people` [Az-Zukhruf 43:58] were revealed. Tell him to go back to the one who sent him and do not discuss the Book of Allah with him. Their spokesmen stood up and said: By Allah, we will discuss the Book of Allah. If he says something sound and true that we recognise we will follow him, and if he says something false we will reject his false argument. So they discussed the Book with ‘Abdullah for three days, and four thousand of them recanted and all of them repented, including Ibnul-Kawwa`. He took them to `Ali in Koofah, and `Ali sent word to the rest of them, saying: You know the turmoil between us and our opponents. Stay wherever you wish until the ummah of Muhammad (ﷺ) is united. The deal between us and you is that you should not shed any blood that it is forbidden to shed or commit acts of banditry on the roads or do wrong to any Non Muslim under Muslim protection. If you do that, we will declare war, for Allah does not love those who betray. `A`ishah (رضي الله عنها) said: O Ibn Shaddad, did he kill them? He said: By Allah, no sooner had he sent this message to them but they committed acts of banditry, shed blood and regarded it as permissible to harm Ahludh-Dhimmah (non-Muslims living under Muslim protection). She said: Do you swear by Allah? He said: I swear by Allah besides Whom there is no other god that this is what happened. She said: I have heard that the people of Iraq are talking and saying dhuth-thuda, dhuth-thuda [i.e., the one with a deformed arm that looks like a breast]. He said: I saw him and I was with ‘Ali (رضي الله عنه) when he was examining the slain. He called the people and said: Do you know this one? How many of them came and said: I saw him praying in the mosque of Banu So and so, and I saw him praying in the mosque of Banu So and so. And there was no proof of who he was except that. She said: What did `Ali say when he stood over him, as the people of Iraq claim? He said: I heard him say: Allah and His Messenger spoke the truth. She said: Did you hear him say anything other than that? He said: No, by Allah. She said: Yes, Allah and His Messenger spoke the truth. May Allah have mercy on `Ali (رضي الله عنه): it was his habit, if he saw something he liked, to say: Allah and His Messenger spoke the truth. But the people of Iraq fabricated lies against him and added words to what he said.";Musnad Ahmad 656, Book 5, Hadith 92;question #4;What was the outcome of the discussions between Abdullah bin Abbas (رضي الله عنه) and the rebels?
"The Messenger of Allah (ﷺ) was at a funeral and he said: `which of you will go to the city and not leave in it any idol but he will break it, or any grave but he will level it, or any image but he will spoil it?` A man said: “I will, O Messenger of Allah (ﷺ).` So he went, but he was afraid of the people of the city, so he came back, `Ali (رضي الله عنه) said: I will go, O Messenger of Allah (ﷺ). He said: “Go.` So he went then he came back and said: O Messenger of Allah (ﷺ). I did not leave in it any idol but I broke it, or any grave but i levelled it, or any image but I spoiled it. The Messenger of Allah (ﷺ) said: “Whoever goes back to doing any of that has disbelieved in what was revealed to Muhammad.` Then he said: `Do not be a cause of division or show off or be a merchant except a good one, for those are the ones who are lagging behind in good deeds.`


It was narrated from Al-Hakam that A man from Basra whom the people of Basra called Abu Muwarri’ and the people of Koofah called Abu Muhammad, said: The Messenger of Allah (ﷺ) was at a funeral... and he mentioned a similar Hadeeth, but he did not say that ‘Ali said: `or any image but he will smear something over it.` And he said: I did not come to you, O Messenger of Allah (ﷺ), until I did not leave any image but i spoiled it.` And he said: `Do not be a cause of division or show off.`";Musnad Ahmad 657, 658, Book 5, Hadith 93;question #4;What advice did the Prophet Muhammad (ﷺ) give regarding causing division and showing off?
It was narrated from ‘Ali (رضي الله عنه) that  the Prophet (ﷺ) used to pray Witr when the adhan was given and he prayed two rak`ahs when the iqamah was given.;Musnad Ahmad 659, Book 5, Hadith 94;question #4;How many rak'ahs did the Prophet (ﷺ) pray when the iqamah was given?
There is no doubt that it was ‘Ali (رضي الله عنه) - said: The Messenger of Allah (ﷺ) cursed the one who consumes riba, the one who pays it, the two who witness it, the one who writes it is down, the one who does tattoo the one for whom tattoos are done, the one who marries a woman and is divorces her so that she become permissible for her first husband, the one for whom that is done and the one who withholds zakah. And he forbade wailing.;Musnad Ahmad 660, Book 5, Hadith 95;question #4;What is the ruling on marrying a woman with the intention of making her permissible for her first husband?
The Messenger of Allah (ﷺ) said: “O ‘Ali, if you are appointed in charge after I am gone, then  expel the people of Najran from  the Arabian Peninsula.”;Musnad Ahmad 661, Book 5, Hadith 96;question #4;How does this instruction reflect the political or social dynamics of the time?
"I was a man who emitted a great deal of madhi (prostatic fluid). I asked the Messenger of Allah (ﷺ) (about that) and he said: “As for mani (semen), ghusl due for it; as for madhi (prostatic fluid), wudoo’ is due for it.”";Musnad Ahmad 662, Book 5, Hadith 97;question #4;How did the Prophet Muhammad (ﷺ) guide his companions regarding issues of ritual purity?
It was narrated from ‘Ali (رضي الله عنه) that The Messenger of Allah (ﷺ) forbade raising the voice when reciting Qur`an before or after Isha` and causing others to make mistakes  in recitation when praying.;Musnad Ahmad 663, Book 5, Hadith 98;question #4;How can loud recitation of the Qur'an affect others during prayer?
The Prophet (ﷺ) said: `Ask Allah, may He be exalted, for guidance and proper aim. When asking for guidance, think of directions when travelling, and when asking for proper aim, think of aiming an arrow.”;Musnad Ahmad 664, Book 5, Hadith 99;question #4;Why is it important to have a clear direction when seeking guidance from Allah?
